no,number,fast_link,age,area,feature,orientation,price,unit_price,total,down_payment,tax,loan_period,community,around,floor,style,building_type,elevator,heating,decoration
13,101091482180,http://bj.lianjia.com/ershoufang/101091482180.html,2004,61㎡,.满五年.不唯一.一类经济适用房,南,200,32787,212.4,92.4,6.5,30/30,政馨园二区,丰台.宋家庄.近5号线宋家庄站,中楼层,1室0厅1厨1卫,板塔结合,一梯八户,自采暖,简装
19,101100281835,http://bj.lianjia.com/ershoufang/101100281835.html,1997,50.45㎡,.暂无数据.不唯一.已购公房,东 西,198,39247,216.0,96.0,12.1,28/30,横七条,丰台.刘家窑.近5号线刘家窑站,低楼层,1室1厅1厨1卫,板楼,一梯三户,集中供暖,简装
21,101092051964,http://bj.lianjia.com/ershoufang/101092051964.html,1995,42.75㎡,.满五年.唯一住宅.已购公房,南 北,170,39766,177.0,61.4,1.9,26/30,宋庄路甲12号院,丰台.宋家庄.近5号线宋家庄站,低楼层,1室1厅1厨1卫,板楼,一梯二户,集中供暖,简装
22,101092241287,http://bj.lianjia.com/ershoufang/101092241287.html,1995,37.5㎡,.满两年.不唯一.已购公房,南 北,200,53333,207.8,87.8,1.9,26/30,南方庄小区,丰台.宋家庄.近5号线刘家窑站,低楼层,1室1厅1厨1卫,板楼,一梯三户,集中供暖,精装
24,101092346214,http://bj.lianjia.com/ershoufang/101092346214.html,2003,55㎡,.满两年.唯一住宅.一类经济适用房,北,195,35455,207.3,87.3,6.5,30/30,政馨园一区,丰台.宋家庄.近5号线宋家庄站,低楼层,1室1厅1厨1卫,板塔结合,一梯十一户,自采暖,精装
25,101091697765,http://bj.lianjia.com/ershoufang/101091697765.html,2006,43.93㎡,.满五年.不唯一.商品房,东,175,39836,181.7,62.7,1.5,30/30,嘉业大厦,丰台.刘家窑.近5号线刘家窑站,低楼层,1室0厅1厨1卫,板塔结合,一梯四户,集中供暖,简装
27,101100265019,http://bj.lianjia.com/ershoufang/101100265019.html,2003,47.39㎡,.满五年.不唯一.商品房,东,190,40093,197.1,77.1,1.5,30/30,世纪星,丰台.宋家庄.近14号线(东段)方庄站,中楼层,1室0厅1厨1卫,塔楼,一梯十二户,集中供暖,简装
28,101091829700,http://bj.lianjia.com/ershoufang/101091829700.html,2005,56㎡,.满两年.不唯一.商品房,南,180,32143,186.9,66.9,1.5,30/30,芳泽园,丰台.宋家庄.近5号线宋家庄站,中楼层,1室1厅1厨1卫,板楼,一梯五户,集中供暖,精装
29,101100278936,http://bj.lianjia.com/ershoufang/101100278936.html,2004,38.43㎡,.暂无数据.不唯一.一类经济适用房,北,153,39813,167.9,63.9,10.3,30/30,政馨园二区,丰台.宋家庄.近5号线宋家庄站,中楼层,1室0厅1厨1卫,板塔结合,一梯八户,自采暖,简装
30,101092381099,http://bj.lianjia.com/ershoufang/101092381099.html,2003,41.55㎡,.满五年.不唯一.商品房,北,185,44525,192.0,72.0,1.5,30/30,世纪星,丰台.宋家庄.近14号线(东段)方庄站,中楼层,1室0厅1厨1卫,塔楼,一梯十二户,集中供暖,简装
